0,1
10gs,6.4
186l,4.85
187l,3.37
1a1e,6.0
1a28,8.29
1a4k,8.0
1a4r,6.66
1a4w,5.92
1a8i,5.52
1a94,7.85
1a99,5.7
1a9m,6.92
1a9q,6.17
1aaq,8.4
1add,6.74
1adl,5.36
1ado,6.0
1afk,6.62
1afl,6.28
1ai4,2.5
1ai7,4.09
1aid,4.82
1aj7,3.87
1ajn,2.63
1ajp,2.23
1ajq,4.31
1ajx,7.91
1alw,6.52
1amk,4.3
1amw,4.54
1apv,9.0
1atl,6.28
1atr,6.96
1avn,3.9
1ax0,3.13
1azm,6.1
1b1h,7.03
1b38,6.6
1b3f,6.89
1b3l,5.89
1b55,7.4
1b57,8.0
1b6j,7.92
1b6k,8.74
1b6l,8.3
1b8n,10.52
1b8y,7.85
1bai,7.7
1bcd,8.7
1bdq,6.34
1bhf,4.38
1bhx,6.84
1bju,4.8
1bjv,5.54
1bm7,7.52
1bma,4.59
1bn4,9.31
1bnt,9.8
1bnv,8.77
1bnw,9.08
1bq4,5.22
1br6,3.22
1bwa,8.6
1bwb,8.42
1bxq,7.38
1bxr,3.4
1bzj,4.66
1bzy,8.34
1c1r,7.63
1c1v,7.64
1c3e,6.59
1c3x,3.68
1c4u,10.37
1c5c,6.96
1c5n,4.7
1c5o,3.49
1c5p,4.68
1c5q,6.36
1c5y,4.2
1c70,10.3
1c84,5.0
1c88,5.29
1cbx,6.35
1ceb,6.0
1cet,2.89
1cgl,6.87
1ch8,7.0
1ciz,7.44
1cnw,7.72
1cnx,7.37
1cny,7.85
1ct8,6.52
1ctt,4.52
1d09,7.57
1d2e,6.0
1d3d,9.09
1d3p,7.39
1d4k,9.22
1d4l,8.77
1d4p,6.3
1d6v,6.17
1d6w,5.96
1d7i,3.6
1d7j,3.3
1d9i,9.11
1dar,4.96
1det,4.3
1df8,9.7
1dfo,6.7
1dgm,5.05
1dl7,6.49
1dqn,8.0
1drk,6.82
1drv,6.54
1dud,4.82
1duv,11.8
1dy4,4.36
1dzk,6.1
1e1v,4.92
1e1x,5.89
1e2l,4.29
1e3v,4.34
1e4h,8.41
1e5j,4.0
1e6q,3.15
1eb2,6.01
1ebw,9.05
1ec2,10.0
1ec3,9.04
1ec9,3.1
1ecq,3.0
1efy,8.22
1egh,5.7
1ejn,5.62
1ela,6.36
1elb,7.15
1elc,6.66
1eld,6.7
1ele,6.85
1elr,4.96
1eoc,6.05
1epo,7.96
1erb,8.1
1ew8,2.26
1ew9,3.22
1ex8,6.33
1ez9,5.1
1f0r,7.66
1f0s,7.74
1f0t,6.0
1f0u,7.16
1f4e,2.96
1f4f,4.62
1f4g,6.48
1f4x,5.59
1f57,5.64
1f5k,3.74
1f5l,5.28
1f73,2.39
1fao,7.37
1fch,7.15
1fcx,7.19
1fh8,6.89
1fh9,6.43
1fiv,6.59
1fjs,9.96
1fkb,9.7
1fkf,9.4
1fkg,8.0
1fki,7.0
1fkn,8.8
1fkw,5.05
1fl3,6.8
1flr,10.0
1fm9,9.0
1fo0,5.59
1fpc,7.0
1fq5,8.4
1ft7,5.18
1fv0,5.93
1fzj,8.1
1fzk,8.4
1fzm,7.7
1fzo,7.89
1fzq,7.62
1g2l,7.24
1g2o,10.55
1g30,6.85
1g32,6.11
1g35,8.14
1g36,7.17
1g3d,5.55
1g3e,5.38
1g4o,8.25
1g74,6.52
1g7f,5.47
1g7g,6.6
1g7q,6.06
1g7v,6.4
1g85,5.48
1g98,5.7
1g9r,5.7
1gaf,8.0
1gai,8.0
1gar,10.0
1gcz,5.13
1gfy,5.08
1ghw,4.2
1ghy,8.1
1gi7,4.51
1gj7,7.89
1gja,5.42
1gjd,5.22
1gnm,6.25
1gnn,5.68
1gno,7.7
1grp,3.72
1gvw,6.96
1gvx,7.22
1gwv,2.57
1gx8,6.37
1gyx,2.48
1gyy,3.64
1gz4,3.7
1h0a,5.44
1h1d,8.22
1h1s,8.22
1h2k,2.92
1h2t,7.89
1h46,3.57
1h4w,4.66
1h5v,3.93
1h6h,5.3
1hbv,6.37
1hdq,5.82
1hfs,8.7
1hi3,4.19
1hi4,4.49
1hi5,4.04
1hih,8.05
1hii,7.28
1hk4,5.31
1hlk,5.0
1hmr,6.55
1hn4,3.82
1hnn,6.24
1hos,8.55
1hpo,9.22
1hps,9.22
1hpv,9.22
1hpx,11.26
1hsh,9.42
1hsl,7.19
1hvh,7.96
1hvj,11.4
1hvk,10.96
1hvl,9.95
1hvs,10.3
1hwr,8.33
1hxw,10.82
1hyo,4.07
1i00,6.34
1i1e,5.03
1i2s,3.31
1i5r,8.52
1i7z,6.4
1i80,6.41
1i9m,8.48
1i9o,8.42
1i9p,8.41
1ie9,10.19
1if7,10.52
1if8,9.64
1igb,6.4
1igj,10.0
1ii5,6.62
1iih,2.89
1iiq,7.48
1ik4,7.41
1ikt,3.4
1ivp,7.52
1iy7,6.19
1izh,7.7
1izi,6.59
1j01,6.47
1j16,3.84
1j17,5.22
1j36,7.74
1j37,8.96
1j4r,7.72
1jak,5.57
1jao,5.92
1jaq,4.48
1jcx,5.15
1jet,7.25
1jev,6.89
1jfh,2.05
1jgl,8.7
1jlr,3.33
1jmg,6.07
1jn4,4.95
1jq8,6.0
1jqy,4.92
1jsv,5.7
1jvu,5.15
1jyq,8.7
1jys,3.52
